"事業活動 コード","事業活動 補助コード","事業活動","地域 コード","地域 補助コード","地域","時間軸 コード","時間軸 補助コード","時間軸","産業中分類 コード","産業中分類 補助コード","産業中分類","/表章項目","事業所数【事業所】","売上（収入）金額【百万円】"
"07","","不動産事業（K1）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"07","","不動産事業（K1）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","7,524"
"07","","不動産事業（K1）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","8,879"
"08","","物品賃貸事業（K2）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","296"
"08","","物品賃貸事業（K2）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"08","","物品賃貸事業（K2）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","693"
"08","","物品賃貸事業（K2）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","5,561"
"09","","飲食サービス事業（M2）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","29"
"09","","飲食サービス事業（M2）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"09","","飲食サービス事業（M2）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","187"
"09","","飲食サービス事業（M2）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","3,096"
"10","","医療、福祉事業（P）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","133"
"10","","医療、福祉事業（P）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"10","","医療、福祉事業（P）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","58"
"10","","医療、福祉事業（P）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","418"
"11","","電気、ガス、熱供給、水道事業（F）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","14"
"11","","電気、ガス、熱供給、水道事業（F）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"11","","電気、ガス、熱供給、水道事業（F）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","14,768"
"11","","電気、ガス、熱供給、水道事業（F）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","1,772"
"12","","運輸、郵便事業（H）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","99"
"12","","運輸、郵便事業（H）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"12","","運輸、郵便事業（H）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","5,188"
"12","","運輸、郵便事業（H）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","10,225"
"13","","金融、保険事業（J）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","-"
